Name, Height, Weight
Nikola Jokić, 83, 284
LaMelo Ball, 79, 180
Stephen Curry, 74, 185
Clint Capela, 82, 240
Russell Westbrook, 75, 200
Precious Achiuwa, 80, 225
Jaylen Adams, 72, 225
Steven Adams, 83, 265
Bam Adebayo, 81, 255
LaMarcus Aldridge, 83, 250
Ty-Shon Alexander, 75, 195
Nickeil Alexander-Walker, 78, 205
Grayson Allen, 76, 198
Jarrett Allen, 83, 243
Al-Farouq Aminu, 80, 220
Kyle Anderson, 81, 230
Giannis Antetokounmpo, 83, 242
Kostas Antetokounmpo, 82, 200
Thanasis Antetokounmpo, 78, 219
Carmelo Anthony, 79, 238
Cole Anthony, 74, 185
OG Anunoby, 79, 232
Ryan Arcidiacono, 75, 195
Trevor Ariza, 80, 215
D.J. Augustin, 71, 183
Deni Avdija, 81, 210
Deandre Ayton, 83, 250
Udoka Azubuike, 82, 280
Dwayne Bacon, 78, 221
Marvin Bagley III, 83, 235
Lonzo Ball, 78, 190
Mo Bamba, 84, 231
Desmond Bane, 77, 215
Harrison Barnes, 80, 225
RJ Barrett, 78, 214
Will Barton, 78, 181
Keita Bates-Diop, 80, 229
Nicolas Batum, 80, 230
Aron Baynes, 82, 260
Kent Bazemore, 76, 195
Darius Bazley, 80, 208
Bradley Beal, 76, 207
Malik Beasley, 76, 187
Jordan Bell, 80, 216
DeAndre' Bembry, 77, 210
Dāvis Bertāns, 82, 225
Patrick Beverley, 73, 180
Saddiq Bey, 79, 215
Tyler Bey, 79, 215
Khem Birch, 81, 233
Goga Bitadze, 83, 250
Bismack Biyombo, 80, 255
Nemanja Bjelica, 82, 234
Eric Bledsoe, 73, 214
Keljin Blevins, 76, 200
Bogdan Bogdanović, 78, 220
Bojan Bogdanović, 79, 226
Bol Bol, 86, 220
Marques Bolden, 82, 249
Jordan Bone, 74, 180
Isaac Bonga, 80, 180
Devin Booker, 77, 206
Chris Boucher, 81, 200
Brian Bowen, 78, 190
Avery Bradley, 75, 180
Tony Bradley, 82, 248
Jarrell Brantley, 77, 250
Ignas Brazdeikis, 78, 221
Mikal Bridges, 78, 209
Miles Bridges, 78, 225
Amida Brimah, 82, 230
Oshae Brissett, 79, 210
Malcolm Brogdon, 77, 229
Armoni Brooks, 75, 195
Dillon Brooks, 79, 225
Bruce Brown, 76, 202
Charlie Brown Jr., 78, 199
Jaylen Brown, 78, 223
Moses Brown, 86, 245
Sterling Brown, 77, 219
Troy Brown Jr., 78, 215
Jalen Brunson, 73, 190
Elijah Bryant, 77, 210
Thomas Bryant, 82, 248
Reggie Bullock, 78, 205
Trey Burke, 72, 185
Alec Burks, 78, 214
Jimmy Butler, 79, 230
Bruno Caboclo, 81, 218
Devontae Cacok, 79, 240
Kentavious Caldwell-Pope, 77, 204
Facundo Campazzo, 70, 195
Vlatko Čančar, 80, 236
Devin Cannady, 74, 183
Vernon Carey Jr., 81, 270
Jevon Carter, 73, 200
Wendell Carter Jr., 82, 270
Michael Carter-Williams, 77, 190
Alex Caruso, 76, 186
Willie Cauley-Stein, 84, 240
Chris Chiozza, 71, 175
Marquese Chriss, 81, 240
Gary Clark, 78, 225
Brandon Clarke, 80, 215
Jordan Clarkson, 76, 194
Nic Claxton, 83, 215
Amir Coffey, 79, 210
John Collins, 81, 235
Mike Conley, 73, 175
Pat Connaughton, 77, 209
Quinn Cook, 73, 180
Tyler Cook, 80, 255
DeMarcus Cousins, 82, 270
Robert Covington, 79, 209
Torrey Craig, 79, 221
Jae Crowder, 78, 235
Jarrett Culver, 78, 195
Seth Curry, 74, 185
Nate Darling, 78, 200
Anthony Davis, 82, 253
Ed Davis, 81, 218
Terence Davis, 76, 201
Gabriel Deck, 80, 232
Dewayne Dedmon, 84, 245
Matthew Dellavedova, 75, 200
DeMar DeRozan, 78, 220
Mamadi Diakite, 81, 228
Hamidou Diallo, 77, 202
Gorgui Dieng, 82, 252
Spencer Dinwiddie, 77, 215
Donte DiVincenzo, 76, 203
Luka Dončić, 79, 230
Luguentz Dort, 75, 215
Damyean Dotson, 77, 210
Devon Dotson, 74, 185
Sekou Doumbouya, 80, 230
PJ Dozier, 78, 205
Goran Dragić, 75, 190
Andre Drummond, 82, 279
Jared Dudley, 78, 237
Kris Dunn, 75, 205
Kevin Durant, 82, 240
Anthony Edwards, 76, 225
Carsen Edwards, 71, 200
CJ Elleby, 78, 200
Henry Ellenson, 82, 240
Wayne Ellington, 76, 207
Joel Embiid, 84, 280
James Ennis III, 78, 215
Drew Eubanks, 81, 245
Dante Exum, 77, 214
Tacko Fall, 90, 311
Derrick Favors, 81, 265
Cristiano Felício, 83, 270
Terrance Ferguson, 78, 190
Bruno Fernando, 81, 240
Yogi Ferrell, 72, 178
Dorian Finney-Smith, 79, 220
Malik Fitts, 80, 230
Malachi Flynn, 73, 175
Bryn Forbes, 74, 205
Trent Forrest, 76, 210
Evan Fournier, 79, 205
De'Aaron Fox, 75, 185
Robert Franks, 79, 225
Tim Frazier, 72, 170
Enes Freedom, 82, 250
Markelle Fultz, 75, 209
Wenyen Gabriel, 81, 205
Daniel Gafford, 82, 234
Danilo Gallinari, 82, 233
Langston Galloway, 73, 200
Darius Garland, 73, 192
Marc Gasol, 83, 255
Rudy Gay, 80, 250
Paul George, 80, 220
Taj Gibson, 81, 232
Harry Giles, 83, 240
Shai Gilgeous-Alexander, 78, 180
Anthony Gill, 79, 230
Freddie Gillespie, 81, 245
Rudy Gobert, 85, 258
Brandon Goodwin, 72, 180
Aaron Gordon, 80, 235
Eric Gordon, 75, 215
Devonte' Graham, 73, 195
Jerami Grant, 80, 210
Danny Green, 78, 215
Draymond Green, 78, 230
JaMychal Green, 80, 227
Javonte Green, 76, 205
Jeff Green, 80, 235
Josh Green, 77, 200
Blake Griffin, 81, 250
Kyle Guy, 73, 167
Rui Hachimura, 80, 230
Ashton Hagans, 75, 190
Tyrese Haliburton, 77, 185
Donta Hall, 81, 232
Josh Hall, 81, 190
R.J. Hampton, 76, 175
Tim Hardaway Jr., 77, 205
James Harden, 77, 220
Maurice Harkless, 79, 220
Jared Harper, 70, 175
Montrezl Harrell, 79, 240
Gary Harris, 76, 210
Jalen Harris, 77, 195
Joe Harris, 78, 220
Tobias Harris, 80, 226
Shaquille Harrison, 79, 190
Josh Hart, 77, 215
Isaiah Hartenstein, 84, 250
Udonis Haslem, 80, 235
Jaxson Hayes, 83, 220
Killian Hayes, 77, 195
Gordon Hayward, 79, 225
Juancho Hernangómez, 81, 214
Willy Hernangómez, 83, 250
Tyler Herro, 77, 195
Buddy Hield, 76, 220
George Hill, 76, 188
Solomon Hill, 78, 226
Nate Hinton, 77, 210
Jaylen Hoard, 80, 216
Aaron Holiday, 72, 185
Jrue Holiday, 75, 205
Justin Holiday, 78, 180
Rondae Hollis-Jefferson, 78, 217
Richaun Holmes, 82, 235
Rodney Hood, 80, 208
Al Horford, 81, 240
Talen Horton-Tucker, 76, 234
Danuel House Jr., 78, 220
Dwight Howard, 82, 265
Markus Howard, 70, 175
Kevin Huerter, 79, 190
Elijah Hughes, 77, 215
De'Andre Hunter, 80, 225
Chandler Hutchison, 78, 210
Serge Ibaka, 82, 235
Andre Iguodala, 78, 215
Ersan İlyasova, 81, 235
Joe Ingles, 80, 220
Brandon Ingram, 80, 190
Kyrie Irving, 74, 195
Wes Iwundu, 78, 195
Frank Jackson, 75, 205
Jaren Jackson Jr., 83, 242
